局号,随机种子,艺术家,第1季,第2季,第3季,第4季
146,2026091945,蓝汐,0,0,0,10
146,2026091945,莫野,0,0,0,30
146,2026091945,叶织,10,30,20,0
146,2026091945,纪空,30,10,30,0
147,2026091946,林序,0,0,30,30
147,2026091946,蓝汐,0,0,0,20
147,2026091946,莫野,20,30,20,0
147,2026091946,叶织,30,20,10,10
147,2026091946,纪空,10,10,0,0
148,2026091947,林序,0,0,0,20
148,2026091947,蓝汐,30,20,20,0
148,2026091947,莫野,10,10,10,10
148,2026091947,叶织,20,30,30,0
148,2026091947,纪空,0,0,0,30
149,2026091948,林序,0,0,20,0
149,2026091948,蓝汐,30,20,10,0
149,2026091948,莫野,0,30,0,30
149,2026091948,叶织,20,0,30,20
149,2026091948,纪空,10,10,0,10
150,2026091949,林序,0,0,30,20
150,2026091949,蓝汐,20,20,0,0
150,2026091949,莫野,10,0,20,30
150,2026091949,叶织,30,30,10,0
150,2026091949,纪空,0,10,0,0
151,2026091950,林序,0,0,10,10
151,2026091950,蓝汐,0,20,30,0
151,2026091950,莫野,0,0,0,30
151,2026091950,叶织,20,10,20,0
151,2026091950,纪空,30,30,0,20
152,2026091951,林序,0,0,0,0
152,2026091951,蓝汐,30,10,0,20
152,2026091951,莫野,0,0,20,30
152,2026091951,叶织,20,20,10,0
152,2026091951,纪空,10,30,30,10
153,2026091952,林序,20,20,10,0
153,2026091952,蓝汐,10,0,20,20
153,2026091952,莫野,0,0,0,30
153,2026091952,叶织,30,30,30,0
153,2026091952,纪空,0,10,0,10
154,2026091953,林序,0,0,0,20
154,2026091953,蓝汐,30,10,10,10
154,2026091953,莫野,0,0,0,30
154,2026091953,叶织,20,20,20,0
154,2026091953,纪空,10,30,30,0
155,2026091954,林序,20,0,0,30
155,2026091954,蓝汐,0,30,30,20
155,2026091954,莫野,0,0,0,10
155,2026091954,叶织,30,20,20,0
155,2026091954,纪空,0,10,10,0
156,2026091955,林序,20,10,20,0
156,2026091955,蓝汐,0,0,0,0
156,2026091955,莫野,0,0,30,20
156,2026091955,叶织,0,20,10,30
156,2026091955,纪空,30,30,0,0
157,2026091956,林序,30,20,20,0
157,2026091956,蓝汐,10,30,10,0
157,2026091956,莫野,0,0,0,10
157,2026091956,叶织,20,0,30,30
157,2026091956,纪空,0,10,0,20
158,2026091957,林序,0,10,20,0
158,2026091957,蓝汐,0,0,0,20
158,2026091957,莫野,20,0,0,30
158,2026091957,叶织,10,30,30,10
158,2026091957,纪空,30,20,10,0
159,2026091958,林序,0,0,0,10
159,2026091958,蓝汐,0,0,0,30
159,2026091958,莫野,20,30,30,0
159,2026091958,叶织,10,20,20,20
159,2026091958,纪空,30,10,10,0
160,2026091959,林序,0,0,0,20
160,2026091959,蓝汐,0,10,0,30
160,2026091959,莫野,20,30,20,0
160,2026091959,叶织,10,0,30,10
160,2026091959,纪空,30,20,10,0
161,2026091960,林序,30,0,0,20
161,2026091960,蓝汐,0,20,20,10
161,2026091960,莫野,0,10,10,30
161,2026091960,叶织,20,30,30,0
161,2026091960,纪空,10,0,0,0
162,2026091961,林序,0,0,0,30
162,2026091961,蓝汐,0,0,0,0
162,2026091961,莫野,0,20,30,20
162,2026091961,叶织,20,30,20,0
162,2026091961,纪空,30,10,10,0
163,2026091962,林序,0,20,0,30
163,2026091962,蓝汐,30,0,30,0
163,2026091962,莫野,0,0,0,20
163,2026091962,叶织,0,10,20,0
163,2026091962,纪空,20,30,10,10
164,2026091963,林序,0,0,0,20
164,2026091963,蓝汐,0,20,10,10
164,2026091963,莫野,20,30,20,0
164,2026091963,叶织,30,10,0,0
164,2026091963,纪空,10,0,30,30
165,2026091964,林序,0,0,0,30
165,2026091964,蓝汐,30,10,20,0
165,2026091964,莫野,10,20,30,0
165,2026091964,叶织,0,0,0,20
165,2026091964,纪空,20,30,10,10
166,2026091965,林序,20,10,20,0
166,2026091965,蓝汐,0,0,0,30
166,2026091965,莫野,30,20,10,0
166,2026091965,叶织,10,30,30,20
166,2026091965,纪空,0,0,0,0
167,2026091966,林序,0,30,20,20
167,2026091966,蓝汐,0,0,0,30
167,2026091966,莫野,20,20,10,0
167,2026091966,叶织,30,10,30,10
167,2026091966,纪空,10,0,0,0
168,2026091967,林序,0,0,30,20
168,2026091967,蓝汐,20,30,0,0
168,2026091967,莫野,10,10,20,10
168,2026091967,叶织,0,0,0,30
168,2026091967,纪空,30,20,10,0
169,2026091968,林序,0,30,30,0
169,2026091968,蓝汐,20,10,20,0
169,2026091968,莫野,10,0,0,20
169,2026091968,叶织,0,0,0,30
169,2026091968,纪空,30,20,10,10
170,2026091969,林序,0,0,30,20
170,2026091969,蓝汐,20,30,10,0
170,2026091969,莫野,10,10,0,0
170,2026091969,叶织,0,0,0,30
170,2026091969,纪空,30,20,20,10
171,2026091970,林序,0,0,20,30
171,2026091970,蓝汐,30,30,10,20
171,2026091970,莫野,0,0,0,0
171,2026091970,叶织,20,20,30,0
171,2026091970,纪空,10,10,0,10
172,2026091971,林序,0,0,30,20
172,2026091971,蓝汐,20,30,20,0
172,2026091971,莫野,10,0,10,0
172,2026091971,叶织,30,20,0,10
172,2026091971,纪空,0,10,0,30
173,2026091972,林序,10,20,20,20
173,2026091972,蓝汐,0,0,0,0
173,2026091972,莫野,20,0,0,10
173,2026091972,叶织,30,30,30,0
173,2026091972,纪空,0,10,0,30
174,2026091973,林序,30,20,10,0
174,2026091973,蓝汐,0,30,30,10
174,2026091973,莫野,10,0,20,20
174,2026091973,叶织,20,10,0,0
174,2026091973,纪空,0,0,0,30
175,2026091974,林序,0,0,0,20
175,2026091974,蓝汐,0,0,0,30
175,2026091974,莫野,30,20,20,0
175,2026091974,叶织,20,10,30,0
175,2026091974,纪空,10,30,10,10
176,2026091975,林序,0,0,0,30
176,2026091975,蓝汐,0,0,0,20
176,2026091975,莫野,20,20,20,10
176,2026091975,叶织,10,30,10,0
176,2026091975,纪空,30,10,30,0
177,2026091976,林序,0,0,0,20
177,2026091976,蓝汐,20,20,30,0
177,2026091976,莫野,0,0,0,30
177,2026091976,叶织,30,10,0,0
177,2026091976,纪空,0,30,20,10
178,2026091977,林序,10,0,30,10
178,2026091977,蓝汐,30,20,20,0
178,2026091977,莫野,0,10,0,30
178,2026091977,叶织,0,0,0,20
178,2026091977,纪空,20,30,10,0
179,2026091978,林序,0,0,0,20
179,2026091978,蓝汐,0,0,0,30
179,2026091978,莫野,20,10,30,0
179,2026091978,叶织,30,20,20,0
179,2026091978,纪空,10,30,10,10
180,2026091979,林序,0,10,0,0
180,2026091979,蓝汐,20,0,0,0
180,2026091979,莫野,10,20,20,0
180,2026091979,叶织,0,0,30,30
180,2026091979,纪空,30,30,10,20
181,2026091980,林序,0,0,30,30
181,2026091980,蓝汐,30,20,0,0
181,2026091980,莫野,20,10,20,10
181,2026091980,叶织,10,0,0,0
181,2026091980,纪空,0,30,10,20
182,2026091981,林序,0,0,0,30
182,2026091981,蓝汐,0,0,20,20
182,2026091981,莫野,30,20,10,10
182,2026091981,叶织,20,10,30,0
182,2026091981,纪空,10,30,0,0
183,2026091982,林序,0,30,30,0
183,2026091982,蓝汐,0,0,0,20
183,2026091982,莫野,20,0,0,30
183,2026091982,叶织,10,20,20,10
183,2026091982,纪空,30,10,10,0
184,2026091983,林序,20,10,0,10
184,2026091983,蓝汐,10,0,0,20
184,2026091983,莫野,0,0,0,0
184,2026091983,叶织,30,20,30,0
184,2026091983,纪空,0,30,20,30
185,2026091984,林序,0,20,10,20
185,2026091984,蓝汐,10,0,0,0
185,2026091984,莫野,30,10,0,10
185,2026091984,叶织,20,30,20,0
185,2026091984,纪空,0,0,30,30
186,2026091985,林序,20,0,0,0
186,2026091985,蓝汐,0,0,0,30
186,2026091985,莫野,0,30,20,20
186,2026091985,叶织,30,20,10,0
186,2026091985,纪空,10,10,30,10
187,2026091986,林序,0,30,10,20
187,2026091986,蓝汐,30,0,0,30
187,2026091986,莫野,10,20,20,0
187,2026091986,叶织,0,0,0,10
187,2026091986,纪空,20,10,30,0
188,2026091987,林序,20,30,0,10
188,2026091987,蓝汐,10,0,0,20
188,2026091987,莫野,0,0,20,0
188,2026091987,叶织,0,20,30,30
188,2026091987,纪空,30,10,10,0
189,2026091988,林序,10,0,30,0
189,2026091988,蓝汐,30,30,10,0
189,2026091988,莫野,0,0,0,10
189,2026091988,叶织,20,20,0,20
189,2026091988,纪空,0,10,20,30
190,2026091989,林序,10,0,0,0
190,2026091989,蓝汐,0,0,20,0
190,2026091989,莫野,0,30,10,20
190,2026091989,叶织,20,20,30,10
190,2026091989,纪空,30,10,0,30
191,2026091990,林序,20,30,0,0
191,2026091990,蓝汐,0,10,20,10
191,2026091990,莫野,10,0,30,20
191,2026091990,叶织,30,20,10,0
191,2026091990,纪空,0,0,0,30
192,2026091991,林序,20,30,10,0
192,2026091991,蓝汐,0,0,30,20
192,2026091991,莫野,0,0,0,0
192,2026091991,叶织,10,0,0,30
192,2026091991,纪空,30,20,20,10
193,2026091992,林序,20,10,10,20
193,2026091992,蓝汐,0,0,0,0
193,2026091992,莫野,0,0,0,30
193,2026091992,叶织,30,20,30,0
193,2026091992,纪空,10,30,20,10
194,2026091993,林序,20,20,20,10
194,2026091993,蓝汐,0,0,0,0
194,2026091993,莫野,10,0,0,20
194,2026091993,叶织,30,30,10,0
194,2026091993,纪空,0,10,30,30
195,2026091994,林序,0,10,20,20
195,2026091994,蓝汐,10,0,0,30
195,2026091994,莫野,0,0,0,10
195,2026091994,叶织,30,30,10,0
195,2026091994,纪空,20,20,30,0
196,2026091995,林序,20,30,10,0
196,2026091995,蓝汐,0,20,30,20
196,2026091995,莫野,10,0,0,0
196,2026091995,叶织,30,10,20,10
196,2026091995,纪空,0,0,0,30
197,2026091996,林序,20,10,20,20
197,2026091996,蓝汐,10,30,10,0
197,2026091996,莫野,0,0,0,10
197,2026091996,叶织,0,0,0,30
197,2026091996,纪空,30,20,30,0
198,2026091997,林序,20,20,0,10
198,2026091997,蓝汐,0,0,0,0
198,2026091997,莫野,0,0,20,30
198,2026091997,叶织,10,30,30,0
198,2026091997,纪空,30,10,10,20
199,2026091998,林序,30,30,10,0
199,2026091998,蓝汐,10,10,20,10
199,2026091998,莫野,0,0,0,0
199,2026091998,叶织,0,20,0,30
199,2026091998,纪空,20,0,30,20
200,2026091999,林序,0,20,10,10
200,2026091999,蓝汐,0,0,0,30
200,2026091999,莫野,10,0,0,20
200,2026091999,叶织,30,10,20,0
200,2026091999,纪空,20,30,30,0
